"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000048540.16",767.302138203839,-3.28878133682439,0.0714292177032207,-46.0425221299336,0,0
"ENSG00000073910.23",977.187077061201,2.66437382283618,0.0662680531265449,40.2060072256584,0,0
"ENSG00000096060.15",3016.0564098816,-3.67419380771611,0.0716615297568361,-51.2714956013846,0,0
"ENSG00000100234.12",19540.3394117511,5.06820836378563,0.132789447912753,38.1672523189915,0,0
"ENSG00000104879.5",5290.27660450321,6.34638018237559,0.156874029044029,40.4552635069658,0,0
"ENSG00000106236.4",10535.7618892277,-5.52029170688884,0.0925973790789552,-59.6160686382046,0,0
"ENSG00000109063.15",48332.0791085935,5.21113365794818,0.119234927474874,43.7047580629956,0,0
"ENSG00000111049.4",2129.19739576839,-5.02434649132504,0.0810257093635769,-62.009287308796,0,0
"ENSG00000111145.8",3938.40856847641,-2.08772602828412,0.0547401243945253,-38.1388616006309,0,0
"ENSG00000115461.5",15269.8067641931,6.35627423368898,0.108066577289981,58.8181322392845,0,0
"ENSG00000115594.12",1518.81656936909,-2.9273842317693,0.0748608137195427,-39.1043602963816,0,0
"ENSG00000118729.12",4454.83936780383,3.47941534697568,0.0760877277343888,45.7289953397192,0,0
"ENSG00000122367.21",1612.79910963354,4.29359035394107,0.108787924723848,39.4675269782021,0,0
"ENSG00000125148.7",8494.74565495548,-3.11561913596938,0.0718606176508043,-43.3564202176671,0,0
"ENSG00000125384.7",555.442794296355,-4.65506858969368,0.114171933679472,-40.7724424004449,0,0
"ENSG00000133020.4",5545.36091378515,3.55716074064378,0.0901107265416256,39.475441794386,0,0
"ENSG00000136842.14",1497.35189511265,4.49483269264104,0.096214248983061,46.7169129328482,0,0
"ENSG00000140416.23",35439.6385786809,2.55952847064141,0.063514923614031,40.2980642186585,0,0
"ENSG00000143127.13",1640.63136001432,-4.61845571776077,0.105731703322305,-43.6808977122236,0,0
"ENSG00000158258.16",8880.88201371275,4.00630067957075,0.0897857410462876,44.6206784382986,0,0
"ENSG00000162407.9",707.527708326557,-3.57750647707312,0.0818754971281148,-43.6944702940271,0,0
"ENSG00000164654.16",1408.01831113425,-2.83321019836,0.0662847838971136,-42.7429951760523,0,0
"ENSG00000169908.12",1982.00131561101,-2.53320066848033,0.0588790635255693,-43.0237934640425,0,0
"ENSG00000176171.12",4443.14829932456,-1.94274289507524,0.050915091306167,-38.1565238367732,0,0
"ENSG00000197442.10",986.629352729997,-3.13379740435634,0.0756653591217434,-41.4165404186367,0,0
"ENSG00000206190.13",1709.05408639722,4.91551793821813,0.102517952332872,47.947874751318,0,0
"ENSG00000130595.19",4732.16899130676,3.47308393823509,0.0938496712987437,37.0068844160308,8.87427492938069e-300,5.26441709421817e-297
"ENSG00000158008.10",624.192839080496,4.47837983766082,0.12221078793347,36.6447178140998,5.5541286144184e-294,3.17715992918355e-291
"ENSG00000113739.11",13926.6045696915,-2.30021580591965,0.0628121500145051,-36.6205551853975,1.3468329324981e-293,7.43869761373174e-291
"ENSG00000107731.12",2517.81589013703,4.59811202485625,0.127166237046468,36.1582770053661,2.75764747613892e-286,1.47230798751057e-283
"ENSG00000103811.18",3575.1951856266,3.0225735075111,0.0837066836045292,36.1091059561169,1.63212543856443e-285,8.43282359660856e-283
"ENSG00000139211.7",8116.1811672125,3.98071048081141,0.111433158374079,35.7228543002276,1.74668055319499e-279,8.7426820064138e-277
"ENSG00000139874.6",273.585086749038,-4.25942290592689,0.119771241500893,-35.5629853423129,5.23424017381338e-277,2.5405098443627e-274
"ENSG00000171992.13",1632.69302847863,2.41492793633355,0.0681473982002933,35.4368325146587,4.62748439573995e-275,2.1799534578402e-272
"ENSG00000112297.18",705.479527401775,-2.35655432747741,0.0668998719190301,-35.2250947554815,8.25765474535295e-272,3.77893874446623e-269
"ENSG00000091490.11",1040.54383769972,4.35770210027581,0.123739291910321,35.2168016561305,1.10614547720152e-271,4.9214255856491e-269
"ENSG00000120708.17",37251.6898350571,-2.37654294232823,0.0676604220626531,-35.1245657339761,2.84315707417099e-270,1.2307796447837e-267
"ENSG00000134107.5",8748.17727661935,2.01226537716422,0.0577776083483948,34.8277721194412,9.24192443466055e-266,3.89547114920942e-263
"ENSG00000111424.12",1914.36341693595,2.95182674939991,0.0856139847115567,34.4783245324341,1.69508220333791e-260,6.96157221817006e-258
"ENSG00000197321.16",1960.13724743647,3.35389095969786,0.097791442000579,34.2963647031404,8.89028390589204e-258,3.55989193301682e-255
"ENSG00000112972.15",3836.3285190552,2.45411940070632,0.071644081630824,34.2543214295381,3.76085404684466e-257,1.46920973825149e-254
"ENSG00000060656.20",2062.54960876121,-2.07777220905257,0.0607109332796321,-34.2240202350776,1.06229560884702e-256,4.05114018259587e-254
"ENSG00000163453.11",21243.7203424653,2.57967347076211,0.0754331785279862,34.198127682039,2.5779637457554e-256,9.60261518971263e-254
"ENSG00000172995.17",3438.52011579054,2.32039852407741,0.0682623715228495,33.9923514567714,2.89000801549927e-253,1.05202859964209e-250
"ENSG00000128487.19",1491.74668880194,3.45627987602874,0.101697309054412,33.9859521177644,3.59288439259558e-253,1.27882731813785e-250
"ENSG00000117115.13",1768.25461056318,5.21912898380083,0.153945695016811,33.9024029430045,6.1400652951985e-252,2.13794403985205e-249
"ENSG00000096696.15",11077.1242429687,3.88274629796693,0.115696887796109,33.5596434089864,6.51224044513479e-247,2.21928840871753e-244
"ENSG00000167191.12",2033.43941789441,2.09995484395616,0.062988051067253,33.3389398207291,1.05370054768839e-243,3.51606701506771e-241
"ENSG00000187955.13",1181.7887699681,2.5355883433219,0.076198971185714,33.2758868507831,8.62210535526508e-243,2.818372683169e-240
"ENSG00000158186.13",11133.5062300149,1.69249536562364,0.0510586223306784,33.1480813301676,6.03559994457158e-241,1.93344408624406e-238
"ENSG00000147883.12",4740.22627781257,3.27471217504525,0.0992279456714168,33.0019144595528,7.6246409463738e-239,2.39458576545234e-236
"ENSG00000099953.10",2139.32447803345,3.44447021987953,0.104427556179934,32.9843036252282,1.3639284656062e-238,4.20116196800278e-236
"ENSG00000153531.15",458.548387623321,-2.44042516956213,0.074166648549682,-32.9046170655449,1.88783204675266e-237,5.70517092317685e-235
"ENSG00000143850.16",1896.41232583219,-2.57224788800321,0.0785160360483117,-32.7607966151078,2.13111629706321e-235,6.32112772778915e-233
"ENSG00000122877.18",1011.73356666118,4.98416830388896,0.152272954760751,32.7318026482117,5.51226065575379e-235,1.60527052587652e-232
"ENSG00000168386.19",1111.4436226941,2.06679032751222,0.06316540200973,32.7202908831936,8.03703705221604e-235,2.29873611545258e-232
"ENSG00000176597.12",1009.30875997064,-2.93381561073349,0.0898296027365642,-32.6597860989907,5.81957093559307e-234,1.63529943290165e-231
"ENSG00000171388.12",311.511726649292,-3.83529645593904,0.117657206083817,-32.5972083104442,4.49234548129123e-233,1.2405844409283e-230
"ENSG00000107796.13",18462.9249326939,3.03536054647778,0.0932654631823384,32.5453865011478,2.43338053146694e-232,6.60600948686543e-230
"ENSG00000166825.15",1279.42638696262,-3.19841915957912,0.0983062554179864,-32.53525572691,3.38465116278515e-232,9.03532627905495e-230
"ENSG00000113721.14",4624.01886140582,2.7979445042803,0.0864196234644081,32.376263539642,5.92500992989608e-230,1.55575219749419e-227
"ENSG00000143632.15",7304.44450826956,4.20423319732585,0.130174863536124,32.2968127879709,7.7540233748931e-229,2.00316439347843e-226
"ENSG00000162433.15",3303.32850472921,-1.75124694676838,0.054340388479638,-32.2273541975983,7.30569685124053e-228,1.85738645184634e-225
"ENSG00000177283.8",1262.7172270444,4.2912321284107,0.133352732113583,32.1795591316092,3.41001601916537e-227,8.53409790296433e-225
"ENSG00000146674.16",33938.6007444619,4.01810217533427,0.125424570293293,32.0360051139768,3.43910169833522e-225,8.47447567726695e-223
"ENSG00000170390.16",690.54429506796,2.34200631402643,0.0735579931888677,31.8389098518917,1.8744885392778e-222,4.54904286872917e-220
"ENSG00000084764.12",1325.42397849035,2.69659438855444,0.0848962064410753,31.7634262071073,2.07215217202914e-221,4.95368079692399e-219
"ENSG00000077522.15",2421.06955664109,3.32647099266631,0.105457761646699,31.5431594671102,2.22541862685957e-218,5.24184266858966e-216
"ENSG00000180209.12",12125.2532630296,2.99452099065489,0.0950633894212828,31.5002548182284,8.61695014419888e-218,2.00025638347295e-215
"ENSG00000131370.16",932.991778534956,2.30465283547053,0.0735058506188335,31.3533251580389,8.76489453999379e-216,2.00553308352972e-213
"ENSG00000169499.15",1101.45774417647,-1.57457545890228,0.0503937258443936,-31.2454662265749,2.57266600632032e-214,5.80371710186375e-212
"ENSG00000064042.18",740.590520131626,3.20605174704546,0.102702729729336,31.2168114274539,6.30145376312684e-214,1.40181090172226e-211
"ENSG00000163814.8",493.976399667391,-2.35144889192694,0.0753734835478691,-31.1972962007726,1.15931819345298e-213,2.54367116500499e-211
"ENSG00000119138.5",1193.02170959424,-2.35031498346792,0.0757005550199909,-31.047526439499,1.23202653054832e-211,2.66667147835033e-209
"ENSG00000142661.19",1770.69777362066,3.45122904813482,0.11235720536043,30.716579653825,3.41893958174624e-207,7.30148737077728e-205
"ENSG00000116016.14",7803.74653985285,2.07078200425766,0.0676230520476885,30.6224274349126,6.15589749314368e-206,1.29735539668003e-203
"ENSG00000113070.8",1405.14736306447,4.42345736539643,0.144580017871638,30.5952193844913,1.41696730949263e-205,2.94747602547317e-203
"ENSG00000003989.18",559.58424169703,-2.8868857963464,0.0944807587133421,-30.5552774518388,4.81173137314056e-205,9.88070530815286e-203
"ENSG00000260549.3",187.780038560782,-4.06374088026979,0.133450821475667,-30.451224168828,1.15402300733569e-203,2.33974512765768e-201
"ENSG00000152137.8",2129.56477413811,2.35172011888953,0.0781066476439184,30.1090904529769,3.68419119994395e-199,7.37621130618778e-197
"ENSG00000124701.6",784.625879157443,4.60935100005723,0.153117717102397,30.1033158493001,4.38457980372748e-199,8.67010058225963e-197
"ENSG00000163513.19",16502.7786386296,-2.03081404518555,0.0675094761774052,-30.0819108690587,8.35562805942265e-199,1.63209871497284e-196
"ENSG00000137809.17",36718.1247670304,2.63897658896848,0.0878730206282331,30.0317044993056,3.78505396159255e-198,7.30424208467806e-196
"ENSG00000180354.16",2075.80883588083,1.80133759309404,0.0600401307686341,30.0022263448347,9.17869253343879e-198,1.7501799798582e-195
"ENSG00000167244.22",18360.6809886115,-2.35589125712306,0.0785358323477608,-29.997660770832,1.05276337004303e-197,1.98377775270344e-195
"ENSG00000138100.14",748.616510108065,3.41856867338415,0.114441602542679,29.8717301875361,4.58469952828851e-196,8.5387363191392e-194
"ENSG00000067191.16",2683.84823589137,2.71755709678511,0.0910974231919542,29.83132784183,1.53351378626306e-195,2.82325176029603e-193
"ENSG00000125968.9",1089.24281880468,-3.1007983755884,0.104566336367035,-29.6538875064377,3.02188938007968e-193,5.50018206826548e-191
"ENSG00000198336.9",4330.53681008963,3.34519526110626,0.113353663309862,29.5111350037439,2.07197903101602e-191,3.72886383593074e-189
"ENSG00000124507.11",372.069199182501,5.75305597732186,0.195135559721015,29.4823556790316,4.84706837950725e-191,8.62616602606307e-189
"ENSG00000070961.16",10937.1774808779,-1.61149556740521,0.0547453590508213,-29.4362041887281,1.89068968260482e-190,3.32782160948147e-188
"ENSG00000106003.14",456.355946331337,3.11890188905815,0.106586494716062,29.26169865485,3.18756754869384e-188,5.54948580732926e-186
"ENSG00000172986.13",1688.08307013505,2.08732478308837,0.0714663979710019,29.2070797234712,1.57662749802744e-187,2.71535942321564e-185
"ENSG00000186918.14",619.60316071182,-2.27881214200824,0.0782473976782127,-29.1231684327663,1.82733125166788e-186,3.11365581467707e-184
"ENSG00000109321.11",180.699587936787,-5.90168920668871,0.203862249388555,-28.9493970776329,2.85574032878075e-184,4.81477819432435e-182
"ENSG00000120594.17",1995.00358256164,2.95938892274112,0.102889531667817,28.7627796022594,6.26928960703474e-182,1.0459917878737e-179
"ENSG00000156466.11",1205.44515839304,3.60422493947538,0.125371860412762,28.7482767473434,9.51817794971184e-182,1.57167686825293e-179
"ENSG00000136997.21",1392.96245239164,-1.94589264890683,0.067785362856299,-28.7066789482563,3.14893003555778e-181,5.14657269178867e-179
"ENSG00000145934.17",565.250972664466,3.11140819124693,0.109093227157692,28.5206357196627,6.49969900785453e-179,1.05157251524046e-176
"ENSG00000108448.23",824.408838359643,1.91809668711163,0.0674578244583399,28.4340134374804,7.6827377896635e-178,1.2305441117704e-175
"ENSG00000108387.16",603.534937470808,3.5608245466576,0.125477732590739,28.378139078044,3.76415849900528e-177,5.9693590770859e-175
"ENSG00000178860.9",897.584373741313,2.95502613529943,0.104179428285875,28.3647758863743,5.5020865857658e-177,8.63989420041282e-175
"ENSG00000082126.18",487.019998929699,-2.69899123287167,0.0952231255395085,-28.3438630855679,9.96253307487048e-177,1.5492222549534e-174
"ENSG00000104549.12",1772.93818619442,1.91052465358085,0.0674266428738067,28.3348624839074,1.28612574562657e-176,1.980757314202e-174
"ENSG00000170807.12",666.064514585396,4.9915000059715,0.176944399324043,28.2094263793591,4.48089447484998e-175,6.83528445749259e-173
"ENSG00000121769.8",2439.65575595229,3.27135302519973,0.116095598237712,28.1780969723026,1.08506497326487e-174,1.63957412045126e-172
"ENSG00000256235.3",2230.21173488563,-2.29663169171839,0.081846635513222,-28.0601844818335,3.00066962411827e-173,4.49175003453292e-171
"ENSG00000022267.19",3398.21375396244,1.94811804735698,0.0695682621436041,28.0029712879076,1.49490453015314e-172,2.21702646846878e-170
"ENSG00000142920.17",939.299416901936,3.49163057022234,0.125209503125307,27.8863064150009,3.91102399447957e-171,5.74705241464029e-169
"ENSG00000162591.16",603.088739153294,6.97821868849185,0.250365174745305,27.8721619154531,5.80455583312456e-171,8.45196097992328e-169
"ENSG00000164761.9",1429.97751994384,-1.66133630604711,0.0597410781742896,-27.8089441439322,3.38157173767564e-170,4.8795166236352e-168
"ENSG00000168952.16",645.804124678029,-2.13929927333713,0.0769463780762867,-27.8024687687856,4.04962900770946e-170,5.79133105504307e-168
"ENSG00000109472.14",1061.6353462854,3.0505396732622,0.110792501221346,27.5338099567561,6.9160469798219e-167,9.80303756423074e-165
"ENSG00000168874.13",634.862797746795,-3.55690337649755,0.129546503482004,-27.4565756766384,5.79869168778866e-166,8.14716182134306e-164
"ENSG00000141161.12",2871.47744677248,2.39276400354893,0.0873979530099164,27.3778037258772,5.04106938698585e-165,7.02111377142195e-163
"ENSG00000104368.19",4608.16936193921,-2.17413586239027,0.0794553813894762,-27.3629781189149,7.5680930518138e-165,1.04498402078363e-162
"ENSG00000115593.15",2680.52738132922,2.52539639435498,0.0923267098600455,27.35282561442,9.99477506779197e-165,1.36825907915234e-162
"ENSG00000161011.20",16128.1932915385,1.38477402448073,0.0507073197867316,27.3091543845131,3.30239820559672e-164,4.48258576771548e-162
"ENSG00000154556.19",943.755588013389,2.48312736323698,0.0912240538803525,27.2200944555018,3.75657309161034e-163,5.0562211099431e-161
"ENSG00000116704.8",796.749788797477,-1.89123358006119,0.0694901716559898,-27.2158426866999,4.21811114786509e-163,5.63012385461293e-161
"ENSG00000135842.17",806.502535171169,4.5863733904165,0.168736061202321,27.1807541182158,1.09684550017007e-162,1.45191523770446e-160
"ENSG00000137507.11",463.225785362771,6.57980763805991,0.242128860303447,27.1748176975425,1.28916528709647e-162,1.69250495110035e-160
"ENSG00000101470.10",1905.2493484493,5.8131903255127,0.214068669537063,27.1557268893393,2.16691136855322e-162,2.82174141383065e-160
"ENSG00000099194.6",39484.3228277798,1.81733368231974,0.0669472364297234,27.1457610386569,2.84126435505384e-162,3.67004283668527e-160
"ENSG00000183287.15",1953.54363533688,-3.0947219207005,0.114019538673217,-27.1420315913578,3.14438368495798e-162,4.02908747855775e-160
"ENSG00000054793.14",1201.51442569097,2.52163551658852,0.0929842920997144,27.1189408409365,5.88808014633179e-162,7.4848714050632e-160
"ENSG00000168743.13",846.786559480094,2.31505110869983,0.0854289752284741,27.0991323787788,1.00809453174552e-161,1.27138977283213e-159
"ENSG00000101605.14",1732.29698015977,6.20943943484615,0.22964059789593,27.0398156586414,5.03251419347333e-161,6.29732654975487e-159
"ENSG00000116133.13",5710.50774933682,1.88043925951439,0.0696377998315034,27.0031400197066,1.35759962074947e-160,1.68563357562359e-158
"ENSG00000183691.6",830.037542868965,-3.68546234411449,0.136684663878089,-26.9632469331132,3.98937843572188e-160,4.91522110807364e-158
"ENSG00000115738.10",727.284510797663,-1.66643110103916,0.0618241870149947,-26.9543552693218,5.07168422419816e-160,6.20100505488411e-158
